All values: R'000,2016/17,2015/16,2014/15,2013/14


303 379,278 481

Population under 15,42.8%,42.4%
Population 15 to 64,52.8%,52.2%
Population over 65,4.4%,5.4%

 Per 100 (15-64),89.4,91.6

Males per 100 females,89.0,86.3

Per annum,1.95%,n/a

Unemployment rate (official),n/a,51.6%
Youth unemployment rate (official) 15-34,n/a,60.9%

No schooling,11.7%,20.8%
Matric,14.3%,12.6%
Higher education,5.4%,5.3%

Households,60 974,56 213
Average household size,5.0,4.7
Female headed households,58.2%,59.1%
Formal dwellings,40.0%,40.5%
Housing owned,87.2%,62.3%

Flush toilet connected to sewerage,1.2%,2.4%
Weekly refuse removal,2.9%,3.2%
Piped water inside dwelling,1.0%,3.7%
Electricity for lighting,84.8%,62.8%

n/a,Clean audit outcome,Clean audit outcome,Financially unqualified with findings

Property rates,12 059,19 667,16 101,8 000
Service charges,185,922,264,800
Investment revenue,7 501,6 405,3 207,3 000
Transfers recognised - operational,117 193,205 725,157 041,130 420
Other own revenue,21 703,14 881,17 299,81 584
Total Revenue (excluding capital transfers and contributions),158 642,247 599,193 911,223 804
Employee costs,87 879,84 751,75 924,93 412
Remuneration of councillors,18 327,17 825,16 779,14 898
Depreciation & asset impairment,-,35 805,31 229,-
Finance charges,-,-,537,112
Materials and bulk purchases,-,15 166,-,424
Transfers and grants,-,-,-,-
Other expenditure,83 486,59 872,98 143,57 159
Total Expenditure,189 692,213 419,222 612,166 004
Surplus/(Deficit),(31 050),34 180,(28 701),57 800
Transfers recognised - capital,42 963,68 217,82 076,-
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,11 913,102 397,53 375,57 800
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,11 913,102 397,53 375,57 800

Capital expenditure,125 559,101 726,96 047,134 873
Transfers recognised - capital,125 559,101 726,96 047,134 873
Public contributions & donations,-,-,-,-
Borrowing,-,-,-,-
Internally generated funds,-,-,-,-
Total sources of capital funds,125 559,101 726,96 047,134 873

Total current assets,234 915,117 529,53 865,69 585
Total non current assets,953 866,959 221,914 198,841 970
Total current liabilities,94 703,43 846,26 844,36 987
Total non current liabilities,6 826,11 293,11 181,10 095
Community wealth/Equity,1 087 251,1 021 611,930 039,864 474

Net cash from (used) operating,105 021,111 348,54 451,113 342
Net cash from (used) investing,(117 677),95 303,(65 063),(134 873)
Net cash from (used) financing,-,292,421,(537)
Cash/cash equivalents at the year end,126 670,208 178,19 588,159 795

Unauthorised expenditure,n/a,-,-,645
Irregular expenditure,n/a,-,-,-
Fruitless & wasteful expenditure,n/a,-,-,1
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),84 751,75 924,93 412,58 478,47 512
Ventilated pit latrine,0,0,0,0,0
Bucket system,0,0,0,0,0
Other,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,3 320,3 320,3 320,3 320,1 620
Domestic households with access to free basic service,1 620,1 620,1 620,1 620,1 600
