All values: R'000,2016/17,2015/16,2014/15,2013/14


82 060,80 390

Population under 15,26.8%,24.4%
Population 15 to 64,67.6%,69.4%
Population over 65,5.6%,6.2%

 Per 100 (15-64),47.9,44.1

Males per 100 females,91.5,90.4

Per annum,0.47%,n/a

Unemployment rate (official),n/a,32.5%
Youth unemployment rate (official) 15-34,n/a,42.3%

No schooling,3.6%,6.3%
Matric,27.0%,22.7%
Higher education,13.0%,11.9%

Households,22 700,21 388
Average household size,3.6,3.4
Female headed households,45.3%,44.5%
Formal dwellings,90.7%,85.4%
Housing owned,56.1%,48.3%

Flush toilet connected to sewerage,83.8%,71.9%
Weekly refuse removal,90.1%,88.9%
Piped water inside dwelling,45.1%,49.8%
Electricity for lighting,96.6%,89.5%

n/a,Qualified audit opinion,Qualified audit opinion,Disclaimer of audit opinion

Property rates,45 407,53 450,53 827,46 135
Service charges,138 019,202 543,196 610,161 564
Investment revenue,3 973,1 000,12 494,10 836
Transfers recognised - operational,32 584,86 094,81 632,61 794
Other own revenue,33 310,28 842,7 245,7 367
Total Revenue (excluding capital transfers and contributions),253 293,371 928,351 809,287 696
Employee costs,69 890,144 120,129 930,124 836
Remuneration of councillors,3 154,9 422,9 458,8 337
Depreciation & asset impairment,6 739,21 753,33 599,36 729
Finance charges,(158),19 000,16 456,6 337
Materials and bulk purchases,46 208,95 361,82 037,67 096
Transfers and grants,1 559,2 370,30 808,22 093
Other expenditure,89 700,179 499,86 963,80 604
Total Expenditure,217 091,471 524,389 251,346 033
Surplus/(Deficit),36 202,(99 596),(37 442),(58 337)
Transfers recognised - capital,-,30 179,28 979,32 636
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,36 202,(69 416),(8 463),(25 701)
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,36 202,(69 416),(8 463),(25 701)

Capital expenditure,16 017,28 624,40 733,-
Transfers recognised - capital,13 792,27 249,21 851,-
Public contributions & donations,-,932,-,-
Borrowing,2 225,-,6 835,-
Internally generated funds,-,442,12 047,-
Total sources of capital funds,16 017,28 624,40 733,-

Total current assets,485 916,56 641,257 605,167 155
Total non current assets,1 688 300,1 108 117,1 072 632,1 041 469
Total current liabilities,285 849,181 793,236 979,168 228
Total non current liabilities,67 550,149 374,116 502,89 830
Community wealth/Equity,1 820 816,833 592,976 755,950 567

Net cash from (used) operating,83 796,12 067,55 925,(9 677)
Net cash from (used) investing,(24 114),(28 166),(38 853),(54 116)
Net cash from (used) financing,-,-,1 063,30 365
Cash/cash equivalents at the year end,64 861,5 560,4 698,(23 596)

Unauthorised expenditure,n/a,28 580,31 781,6 374
Irregular expenditure,n/a,46 586,521,115 260
Fruitless & wasteful expenditure,n/a,9 929,5 766,889
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),144 120,129 930,124 836,113 558,103 423
Flush toilet - public sewerage,19 207,19 207,19 207,18 631,18 550
Flush toilet - septic tank,459,459,459,459,459
Ventilated pit latrine,1 524,1 524,1 524,2 100,2 100
Bucket system,244,244,244,244,244
Other,0,0,0,0,0
Domestic households with access to free basic service,6 381,6 212,6 189,6 971,6 921

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,23 965,23 965,22 717,22 717,22 717
Domestic households with access to free basic service,6 381,6 212,6 189,6 971,6 921
