All values: R'000,2016/17,2015/16,2014/15,2013/14


36 063,36 002

Population under 15,32.8%,29.2%
Population 15 to 64,60.7%,63.8%
Population over 65,6.5%,7.0%

 Per 100 (15-64),64.7,56.8

Males per 100 females,97.9,96.5

Per annum,0.04%,n/a

Unemployment rate (official),n/a,30.7%
Youth unemployment rate (official) 15-34,n/a,40.0%

No schooling,6.2%,10.5%
Matric,20.5%,18.9%
Higher education,2.6%,6.3%

Households,9 876,9 761
Average household size,3.7,3.5
Female headed households,41.3%,39.3%
Formal dwellings,96.9%,95.9%
Housing owned,59.4%,52.2%

Flush toilet connected to sewerage,86.5%,80.5%
Weekly refuse removal,86.1%,80.3%
Piped water inside dwelling,37.3%,51.4%
Electricity for lighting,88.7%,86.9%

n/a,Financially unqualified with findings,Financially unqualified with findings,Qualified audit opinion

Property rates,11 153,10 098,9 055,8 496
Service charges,119 913,97 432,90 560,92 132
Investment revenue,987,1 446,820,1 704
Transfers recognised - operational,51 786,52 419,51 880,50 513
Other own revenue,8 585,34 110,12 329,10 512
Total Revenue (excluding capital transfers and contributions),192 425,195 505,164 644,163 358
Employee costs,71 780,69 757,61 457,54 444
Remuneration of councillors,3 315,3 572,3 149,2 997
Depreciation & asset impairment,34 449,34 699,33 231,35 424
Finance charges,1 700,5 454,2 479,2 821
Materials and bulk purchases,74 508,67 997,57 563,53 652
Transfers and grants,-,-,-,-
Other expenditure,44 662,36 492,39 405,50 801
Total Expenditure,230 413,217 970,197 284,200 139
Surplus/(Deficit),(37 988),(22 465),(32 639),(36 781)
Transfers recognised - capital,19 357,18 170,20 665,40 539
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,(18 631),(4 295),(11 974),3 758
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,(18 631),(4 295),(11 974),3 758

Capital expenditure,15 854,12 331,38 508,39 663
Transfers recognised - capital,14 582,5 612,19 661,35 604
Public contributions & donations,-,-,-,-
Borrowing,-,3 300,13 544,876
Internally generated funds,1 272,3 419,5 304,3 183
Total sources of capital funds,15 854,12 331,38 508,39 663

Total current assets,34 494,40 384,37 490,52 855
Total non current assets,667 134,687 565,665 322,708 622
Total current liabilities,55 356,47 433,32 770,57 398
Total non current liabilities,31 782,48 616,38 922,17 611
Community wealth/Equity,614 490,631 900,631 120,686 468

Net cash from (used) operating,9 026,16 172,13 833,27 516
Net cash from (used) investing,(13 755),(12 325),(33 245),(34 520)
Net cash from (used) financing,(2 462),(853),12 024,(1 012)
Cash/cash equivalents at the year end,6 920,14 113,11 119,18 623

Unauthorised expenditure,n/a,15 800,1 928,12 828
Irregular expenditure,n/a,12 216,39 595,33 069
Fruitless & wasteful expenditure,n/a,815,1,25
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),69 757,61 457,54 444,51 454,49 161
Flush toilet - public sewerage,6 586,6 586,6 586,8 625,7 868
Flush toilet - septic tank,2 323,2 041,2 039,0,0
Ventilated pit latrine,0,0,0,0,0
Bucket system,359,359,361,0,0
Other,0,0,0,0,0
Domestic households with access to free basic service,4 383,3 977,4 242,4 045,3 677

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,8 558,8 558,8 558,8 625,7 361
Domestic households with access to free basic service,4 383,3 977,4 242,4 045,3 677
