All values: R'000,2016/17,2015/16,2014/15,2013/14


59 793,54 504

Population under 15,29.1%,26.7%
Population 15 to 64,66.5%,68.0%
Population over 65,4.3%,5.2%

 Per 100 (15-64),50.3,47.0

Males per 100 females,108.7,103.8

Per annum,2.10%,n/a

Unemployment rate (official),n/a,15.0%
Youth unemployment rate (official) 15-34,n/a,18.8%

No schooling,5.8%,8.8%
Matric,15.5%,15.2%
Higher education,1.5%,3.8%

Households,17 221,14 749
Average household size,3.5,3.5
Female headed households,34.8%,34.9%
Formal dwellings,84.2%,84.6%
Housing owned,30.5%,44.3%

Flush toilet connected to sewerage,65.0%,53.5%
Weekly refuse removal,61.6%,61.2%
Piped water inside dwelling,30.9%,32.3%
Electricity for lighting,89.6%,79.8%

n/a,Adverse audit opinion,Disclaimer of audit opinion,Disclaimer of audit opinion

Property rates,41 065,39 262,28 889,13 933
Service charges,40 451,39 417,55 181,45 233
Investment revenue,1 601,1 382,470,549
Transfers recognised - operational,61 345,62 743,53 881,50 327
Other own revenue,26 115,11 490,32 718,12 715
Total Revenue (excluding capital transfers and contributions),170 578,154 294,171 139,122 756
Employee costs,48 222,47 556,41 132,37 667
Remuneration of councillors,5 773,6 110,5 369,5 519
Depreciation & asset impairment,-,26 251,28 989,19 310
Finance charges,362,2 084,2 849,328
Materials and bulk purchases,15 780,24 006,23 612,26 551
Transfers and grants,24 246,-,-,8 043
Other expenditure,28 106,61 869,83 627,61 919
Total Expenditure,122 489,167 877,185 576,159 337
Surplus/(Deficit),48 088,(13 583),(14 438),(36 580)
Transfers recognised - capital,25 214,32 294,36 377,22 390
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,73 302,18 711,21 939,(14 190)
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,73 302,18 711,21 939,(14 190)

Capital expenditure,28 815,33 479,43 421,15 139
Transfers recognised - capital,25 161,30 905,33 950,18 170
Public contributions & donations,5,-,-,(6 476)
Borrowing,-,-,2 582,3 133
Internally generated funds,3 650,2 574,6 889,314
Total sources of capital funds,28 815,33 479,43 421,15 139

Total current assets,96 883,45 273,43 688,17 809
Total non current assets,547 646,513 061,517 424,395 711
Total current liabilities,56 018,42 976,50 537,38 274
Total non current liabilities,15 743,15 690,38 999,17 288
Community wealth/Equity,572 768,499 667,471 577,357 957

Net cash from (used) operating,23 152,21 337,67 388,16 264
Net cash from (used) investing,(22 425),(33 479),(43 069),(15 139)
Net cash from (used) financing,(1 945),(3 171),(4 368),(416)
Cash/cash equivalents at the year end,(856),5 050,20 512,6 999

Unauthorised expenditure,n/a,6 374,11 297,64 800
Irregular expenditure,n/a,107 507,72 363,112 986
Fruitless & wasteful expenditure,n/a,823,692,496
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),47 556,41 132,37 667,31 949,28 123
Number of households using
Flush toilet - public sewerage,6 936,6 936,6 592,2 758,2 758
Flush toilet - septic tank,7,7,7,286,7
Ventilated pit latrine,110,110,110,2 090,110
Bucket system,1 160,1 160,1 060,851,1 060
Other,2 952,2 952,2 468,3 983,4 108
Domestic households with access to free basic service,2 273,2 273,1 273,2 968,4 809

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,11 647,11 647,11 500,11 500,11 161
Domestic households with access to free basic service,2 835,2 835,2 071,2 968,3 585
